"tekst","numer","typ","rok_budowy","wielkosc","x","y","DP","RP","MP"
"nr 1 typ RP rok 2010 wielkosc 24 x 408 y 683","1","RP","2010","24","408","683","","1",""
"nr 2 typ MP rok 1988 wielkosc 16 x 437 y 622","2","MP","1988","16","437","622","","","2"
"nr 3 typ RP rok 1990 wielkosc 24 x 439 y 673","3","RP","1990","24","439","673","","3",""
"nr 4 typ DP rok 1978 wielkosc 38 x 474 y 665","4","DP","1978","38","474","665","4","",""
"nr 5 typ RP rok 1982 wielkosc 25 x 501 y 662","5","RP","1982","25","501","662","","5",""
"nr 6 typ RP rok 1975 wielkosc 23 x 560 y 660","6","RP","1975","23","560","660","","6",""
"nr 7 typ MP rok 1992 wielkosc 17 x 535 y 637","7","MP","1992","17","535","637","","","7"
"nr 8 typ RP rok 1986 wielkosc 24 x 508 y 589","8","RP","1986","24","508","589","","8",""
"nr 9 typ DP rok 1980 wielkosc 40 x 496 y 565","9","DP","1980","40","496","565","9","",""
"nr 10 typ RP rok 1983 wielkosc 23 x 538 y 577","10","RP","1983","23","538","577","","10",""
"nr 11 typ MP rok 1991 wielkosc 15 x 565 y 581","11","MP","1991","15","565","581","","","11"
"nr 12 typ DP rok 1977 wielkosc 39 x 580 y 614","12","DP","1977","39","580","614","12","",""
"nr 13 typ RP rok 1989 wielkosc 25 x 590 y 651","13","RP","1989","25","590","651","","13",""
"nr 14 typ RP rok 1984 wielkosc 24 x 607 y 628","14","RP","1984","24","607","628","","14",""
"nr 15 typ MP rok 1993 wielkosc 16 x 646 y 638","15","MP","1993","16","646","638","","","15"
"nr 16 typ DP rok 1979 wielkosc 42 x 679 y 632","16","DP","1979","42","679","632","16","",""
"nr 17 typ RP rok 1987 wielkosc 23 x 650 y 606","17","RP","1987","23","650","606","","17",""
"nr 18 typ RP rok 1982 wielkosc 25 x 697 y 592","18","RP","1982","25","697","592","","18",""
"nr 19 typ MP rok 1994 wielkosc 18 x 649 y 572","19","MP","1994","18","649","572","","","19"
"nr 20 typ DP rok 1976 wielkosc 38 x 598 y 551","20","DP","1976","38","598","551","20","",""
"nr 21 typ RP rok 1985 wielkosc 24 x 635 y 532","21","RP","1985","24","635","532","","21",""
"nr 22 typ RP rok 1990 wielkosc 23 x 693 y 542","22","RP","1990","23","693","542","","22",""
"nr 23 typ MP rok 1996 wielkosc 15 x 685 y 501","23","MP","1996","15","685","501","","","23"
"nr 24 typ DP rok 1978 wielkosc 40 x 641 y 469","24","DP","1978","40","641","469","24","",""
"nr 25 typ RP rok 1983 wielkosc 25 x 622 y 447","25","RP","1983","25","622","447","","25",""
"nr 26 typ RP rok 1988 wielkosc 24 x 629 y 390","26","RP","1988","24","629","390","","26",""
"nr 27 typ MP rok 1995 wielkosc 17 x 589 y 502","27","MP","1995","17","589","502","","","27"
"nr 28 typ DP rok 1977 wielkosc 39 x 558 y 458","28","DP","1977","39","558","458","28","",""
"nr 29 typ RP rok 1986 wielkosc 23 x 525 y 456","29","RP","1986","23","525","456","","29",""
"nr 30 typ RP rok 1991 wielkosc 25 x 496 y 483","30","RP","1991","25","496","483","","30",""
"nr 31 typ MP rok 1997 wielkosc 16 x 467 y 481","31","MP","1997","16","467","481","","","31"
"nr 32 typ DP rok 1980 wielkosc 41 x 428 y 534","32","DP","1980","41","428","534","32","",""
"nr 33 typ RP rok 1984 wielkosc 24 x 387 y 569","33","RP","1984","24","387","569","","33",""
"nr 34 typ RP rok 1989 wielkosc 23 x 404 y 517","34","RP","1989","23","404","517","","34",""
"nr 35 typ MP rok 1998 wielkosc 15 x 373 y 501","35","MP","1998","15","373","501","","","35"
"nr 36 typ DP rok 1982 wielkosc 38 x 452 y 445","36","DP","1982","38","452","445","36","",""
"nr 37 typ RP rok 1987 wielkosc 25 x 490 y 412","37","RP","1987","25","490","412","","37",""
"nr 38 typ RP rok 1992 wielkosc 24 x 532 y 413","38","RP","1992","24","532","413","","38",""
"nr 39 typ MP rok 1999 wielkosc 17 x 532 y 377","39","MP","1999","17","532","377","","","39"
"nr 40 typ DP rok 1981 wielkosc 40 x 567 y 365","40","DP","1981","40","567","365","40","",""
"nr 41 typ RP rok 1985 wielkosc 24 x 534 y 329","41","RP","1985","24","534","329","","41",""
"nr 42 typ RP rok 1990 wielkosc 23 x 495 y 340","42","RP","1990","23","495","340","","42",""
"nr 43 typ MP rok 2001 wielkosc 16 x 471 y 369","43","MP","2001","16","471","369","","","43"
"nr 44 typ DP rok 1979 wielkosc 39 x 448 y 405","44","DP","1979","39","448","405","44","",""
"nr 45 typ RP rok 1984 wielkosc 25 x 432 y 377","45","RP","1984","25","432","377","","45",""
"nr 46 typ RP rok 1988 wielkosc 24 x 381 y 329","46","RP","1988","24","381","329","","46",""
"nr 47 typ MP rok 2002 wielkosc 18 x 424 y 336","47","MP","2002","18","424","336","","","47"
"nr 48 typ DP rok 1983 wielkosc 42 x 444 y 306","48","DP","1983","42","444","306","48","",""
