"numer","typ","rok_budowy","wielkosc","x","y","DP","RP","MP"
"1","RP","2010","24","408","683","","1",""
"2","MP","1988","16","437","622","","","2"
"3","RP","1990","24","439","673","","3",""
"4","DP","1978","38","474","665","4","",""
"5","RP","1982","25","501","662","","5",""
"6","RP","1975","23","560","660","","6",""
"7","MP","1992","17","535","637","","","7"
"8","RP","1986","24","508","589","","8",""
"9","DP","1980","40","496","565","9","",""
"10","RP","1983","23","538","577","","10",""
"11","MP","1991","15","565","581","","","11"
"12","DP","1977","39","580","614","12","",""
"13","RP","1989","25","590","651","","13",""
"14","RP","1984","24","607","628","","14",""
"15","MP","1993","16","646","638","","","15"
"16","DP","1979","42","679","632","16","",""
"17","RP","1987","23","650","606","","17",""
"18","RP","1982","25","697","592","","18",""
"19","MP","1994","18","649","572","","","19"
"20","DP","1976","38","598","551","20","",""
"21","RP","1985","24","635","532","","21",""
"22","RP","1990","23","693","542","","22",""
"23","MP","1996","15","685","501","","","23"
"24","DP","1978","40","641","469","24","",""
"25","RP","1983","25","622","447","","25",""
"26","RP","1988","24","629","390","","26",""
"27","MP","1995","17","589","502","","","27"
"28","DP","1977","39","558","458","28","",""
"29","RP","1986","23","525","456","","29",""
"30","RP","1991","25","496","483","","30",""
"31","MP","1997","16","467","481","","","31"
"32","DP","1980","41","428","534","32","",""
"33","RP","1984","24","387","569","","33",""
"34","RP","1989","23","404","517","","34",""
"35","MP","1998","15","373","501","","","35"
"36","DP","1982","38","452","445","36","",""
"37","RP","1987","25","490","412","","37",""
"38","RP","1992","24","532","413","","38",""
"39","MP","1999","17","532","377","","","39"
"40","DP","1981","40","567","365","40","",""
"41","RP","1985","24","534","329","","41",""
"42","RP","1990","23","495","340","","42",""
"43","MP","2001","16","471","369","","","43"
"44","DP","1979","39","448","405","44","",""
"45","RP","1984","25","432","377","","45",""
"46","RP","1988","24","381","329","","46",""
"47","MP","2002","18","424","336","","","47"
"48","DP","1983","42","444","306","48","",""
"49","RP","1987","23","418","295","","49",""
"50","RP","1992","24","355","305","","50",""
"51","MP","2003","15","404","273","","","51"
"52","DP","1980","40","360","263","52","",""
"53","RP","1984","24","375","231","","53",""
"54","RP","1989","23","355","216","","54",""
"55","MP","2000","17","142","386","","","55"
"56","DP","1978","39","106","375","56","",""
"57","RP","1986","25","101","453","","57",""
"58","RP","1991","24","73","444","","58",""
"59","MP","2001","16","63","470","","","59"
"60","DP","1982","41","57","507","60","",""
"61","RP","1987","23","50","538","","61",""
"62","RP","1992","24","89","523","","62",""
"63","MP","2002","17","51","574","","","63"
"64","DP","1984","40","57","602","64","",""
"65","RP","1988","25","84","600","","65",""
