numer;typ;rok_budowy;wielkosc;x;y
1;RP;2010;24;408;683
2;MP;1988;16;437;622
3;RP;1990;24;439;673
4;DP;1978;38;474;665
5;RP;1982;25;501;662
6;RP;1975;23;560;660
7;MP;1992;17;535;637
8;RP;1986;24;508;589
9;DP;1980;40;496;565
10;RP;1983;23;538;577
11;MP;1991;15;565;581
12;DP;1977;39;580;614
13;RP;1989;25;590;651
14;RP;1984;24;607;628
15;MP;1993;16;646;638
16;DP;1979;42;679;632
17;RP;1987;23;650;606
18;RP;1982;25;697;592
19;MP;1994;18;649;572
20;DP;1976;38;598;551
21;RP;1985;24;635;532
22;RP;1990;23;693;542
23;MP;2025;15;685;501
24;DP;1978;40;641;469
25;RP;1983;25;622;447
26;RP;1988;24;629;390
27;MP;1995;17;589;502
28;DP;1977;39;558;458
29;RP;1986;23;525;456
30;RP;1991;25;496;483
31;MP;1997;16;467;481
32;DP;1980;41;428;534
33;RP;1984;24;387;569
34;RP;1989;23;404;517
35;MP;1998;15;373;501
36;DP;1982;38;452;445
37;RP;1987;25;490;412
38;RP;1992;24;532;413
39;MP;1999;17;532;377
40;DP;1981;40;567;365
41;RP;1985;24;534;329
42;RP;1990;23;495;340
43;MP;2001;16;471;369
44;DP;1979;39;448;405
45;RP;1984;25;432;377
46;RP;1988;24;381;329
47;MP;2002;18;424;336
48;DP;1983;42;444;306
49;RP;1987;23;418;295
50;RP;1992;24;355;305
51;MP;2003;15;404;273
52;DP;1980;40;360;263
53;RP;1984;24;375;231
54;RP;1989;23;355;216
55;MP;2000;17;142;386
56;DP;1978;39;106;375
57;RP;1986;25;101;453
58;RP;1991;24;73;444
59;MP;2001;16;63;470
60;DP;1982;41;57;507
61;RP;1987;23;50;538
62;RP;1992;24;89;523
63;MP;2002;17;51;574
64;DP;1984;40;57;602
65;RP;1988;25;84;600
